Flavour,BrewID
Flanders Oud Bruin,25
Flanders Oud Bruin,25
German Pilsener,25
German Pilsener,25
Irish Dry Stout,25
Irish Dry Stout,25
Märzen / Oktoberfest,25
Märzen / Oktoberfest,25
Märzen / Oktoberfest,25
Märzen / Oktoberfest,25
Quadrupel (Quad),25
Quadrupel (Quad),25
Russian Imperial Stout,25
Russian Imperial Stout,25
Scotch Ale / Wee Heavy,25
Scotch Ale / Wee Heavy,25
Scotch Ale / Wee Heavy,25
Scotch Ale / Wee Heavy,25
Scotch Ale / Wee Heavy,25
Scotch Ale / Wee Heavy,25
Scotch Ale / Wee Heavy,25
Scotch Ale / Wee Heavy,25
Scotch Ale / Wee Heavy,25
Scotch Ale / Wee Heavy,25
Scottish Ale,25
Scottish Ale,25
Scottish Ale,25
Scottish Ale,25
Scottish Ale,25
Scottish Ale,25
American Blonde Ale,26
American Blonde Ale,26
American Pale Ale (APA),26
American Pale Ale (APA),26
American Pale Wheat Ale,26
American Pale Wheat Ale,26
American Porter,26
American Porter,26
Belgian IPA,26
Belgian IPA,26
Czech Pilsener,26
Czech Pilsener,26
American IPA,27
American IPA,27
American IPA,27
American IPA,27
American IPA,27
American IPA,27
Belgian Dark Ale,27
Belgian Dark Ale,27
Belgian Strong Dark Ale,27
Belgian Strong Dark Ale,27
English Strong Ale,27
English Strong Ale,27
Kölsch,27
Kölsch,27
Dubbel,28
Dubbel,28
American Double / Imperial IPA,29
American Double / Imperial IPA,29
American IPA,29
American IPA,29
American Pale Ale (APA),29
American Pale Ale (APA),29
Cream Ale,29
Cream Ale,29
Smoked Beer,29
Smoked Beer,29
NA,29
NA,29
American Amber / Red Ale,30
American Amber / Red Ale,30
American Amber / Red Ale,30
American Amber / Red Ale,30
American Blonde Ale,30
American Blonde Ale,30
American Double / Imperial IPA,30
American Double / Imperial IPA,30
American IPA,30
American IPA,30
American IPA,30
American IPA,30
American Pale Ale (APA),30
American Pale Ale (APA),30
American Pale Ale (APA),30
American Pale Ale (APA),30
American Pale Ale (APA),30
American Pale Ale (APA),30
American Pale Wheat Ale,30
American Pale Wheat Ale,30
American Porter,30
American Porter,30
American Porter,30
American Porter,30
Belgian IPA,30
Belgian IPA,30
Fruit / Vegetable Beer,30
Fruit / Vegetable Beer,30
Hefeweizen,30
Hefeweizen,30
Hefeweizen,30
Hefeweizen,30
Herbed / Spiced Beer,30
Herbed / Spiced Beer,30
Märzen / Oktoberfest,30
Märzen / Oktoberfest,30
Winter Warmer,30
Winter Warmer,30
American IPA,31
American IPA,31
American Blonde Ale,32
American Blonde Ale,32
American IPA,32
American IPA,32
American Pale Ale (APA),32
American Pale Ale (APA),32
American Porter,32
American Porter,32
American Strong Ale,32
American Strong Ale,32
Hefeweizen,32
Hefeweizen,32
American Double / Imperial IPA,33
American Double / Imperial IPA,33
American IPA,33
American IPA,33
American Pale Ale (APA),33
American Pale Ale (APA),33
English Brown Ale,33
English Brown Ale,33
Kölsch,33
Kölsch,33
American IPA,34
American IPA,34
American IPA,34
American IPA,34
American IPA,34
American IPA,34
American IPA,34
American IPA,34
Kölsch,34
Kölsch,34
Munich Helles Lager,34
Munich Helles Lager,34
American Amber / Red Lager,35
American Amber / Red Lager,35
American IPA,35
American IPA,35
American IPA,35
American IPA,35
American Pale Wheat Ale,35
American Pale Wheat Ale,35
California Common / Steam Beer,35
California Common / Steam Beer,35
Czech Pilsener,36
Czech Pilsener,36
Kölsch,36
Kölsch,36
Kristalweizen,36
Kristalweizen,36
American Brown Ale,37
American Brown Ale,37
American Double / Imperial IPA,37
American Double / Imperial IPA,37
American IPA,37
American IPA,37
German Pilsener,37
German Pilsener,37
Saison / Farmhouse Ale,37
Saison / Farmhouse Ale,37
Witbier,37
Witbier,37
American Adjunct Lager,38
American Adjunct Lager,38
American Amber / Red Lager,38
American Amber / Red Lager,38
American IPA,38
American IPA,38
American Porter,39
American Porter,39
American IPA,40
American IPA,40
Fruit / Vegetable Beer,40
Fruit / Vegetable Beer,40
American IPA,41
American IPA,41
American IPA,41
American IPA,41
German Pilsener,41
German Pilsener,41
Gose,41
Gose,41
American Pale Ale (APA),42
American Pale Ale (APA),42
Gose,42
Gose,42
American Amber / Red Ale,43
American Amber / Red Ale,43
American Amber / Red Ale,43
American Amber / Red Ale,43
American Amber / Red Lager,43
American Amber / Red Lager,43
American Blonde Ale,43
American Blonde Ale,43
American IPA,43
American IPA,43
American IPA,43
American IPA,43
American IPA,43
American IPA,43
American Pale Ale (APA),43
American Pale Ale (APA),43
American White IPA,43
American White IPA,43
Fruit / Vegetable Beer,43
Fruit / Vegetable Beer,43
Märzen / Oktoberfest,43
Märzen / Oktoberfest,43
Oatmeal Stout,43
Oatmeal Stout,43
Pumpkin Ale,43
Pumpkin Ale,43
Scottish Ale,43
Scottish Ale,43
Witbier,43
Witbier,43
American IPA,44
American IPA,44
American Pale Ale (APA),44
American Pale Ale (APA),44
American Porter,44
American Porter,44
Belgian Pale Ale,44
Belgian Pale Ale,44
